,IdentityCard_Num,Avg_environmental_importance,Avg_government_satisfaction,Avg_education_importance,Avg_monthly_expense_on_pets_or_plants,Avg_Residancy_Altitude,Yearly_ExpensesK,Weighted_education_rank,Number_of_valued_Kneset_members,Most_Important_Issue_Education,Most_Important_Issue_Financial,Most_Important_Issue_Social,Most_Important_Issue_Healthcare,Most_Important_Issue_Other,Most_Important_Issue_Environment,Most_Important_Issue_Military,Most_Important_Issue_Foreign_Affairs
22,23,0.27918357580743125,-1.0972718621446462,-2.81987351711749,-0.7469109858679621,1.280157000698486,0.3953421917416775,1.6930399027544163,0.05984552364390145,0,0,0,1,0,0,0,0
23,24,0.7426312719419859,-0.751897973797348,-1.4212448620218652,-0.3461149209851303,0.9843233256837532,-0.5207886840977283,0.31993581785681074,-1.747084538068104,0,0,0,0,0,0,1,0
24,25,-0.7043765817432757,0.27487067663985876,-0.32985723439815223,1.0282426938615123,0.7611440166990869,-0.9211315902271753,-0.26408192710247513,-1.747084538068104,0,1,0,0,0,0,0,0
25,26,-0.12186278799786525,-0.3630480039099124,-0.1800056688956756,-0.8266271149335771,-1.2690797807256984,0.635947992570367,-0.6250587396417017,0.7826175483287037,0,0,1,0,0,0,0,0
26,27,2.747622571853304,1.1046999925025707,2.2993618913646565,2.1891472252726567,0.9738909038948205,0.05872267466780978,2.031216407183033,0.42123153598630253,0,0,1,0,0,0,0,0
27,28,-0.504723415113729,-0.32864254698165635,-0.5996350062309251,-0.8067507682883334,-0.24893796436507043,-0.14644949278468355,-0.19122989777097368,-1.3856985257257028,0,1,0,0,0,0,0,0
28,29,0.10597822313270848,-0.40652058047972306,0.6769270569294135,1.0670908332006968,0.8025011173623556,-0.9528504072010288,-0.5036472178829964,0.7826175483287037,0,0,0,1,0,0,0,0
29,30,0.3391556892956174,-0.20019258607386983,0.2748783306711645,0.8406690993694766,-1.4956123681425217,0.8096870981568798,-0.964656061238994,2.228161597698308,1,0,0,0,0,0,0,0
30,31,-0.025717241324483116,-0.17989377615613444,0.2862035244794203,-0.43325461623947703,-0.8789817231181098,0.336762394627804,-0.8073079923911336,-0.30154048869849964,0,0,1,0,0,0,0,0
31,32,-0.9916970469236531,-2.9205776241468238,0.9304803840657168,-0.146135859313333,-0.7612443915001555,0.24646378054007734,0.25827903119440837,0.42123153598630253,0,0,0,1,0,0,0,0
32,33,-0.4917164155236457,-0.316156357725921,-0.6065473184094543,-0.13582165095511403,-1.540695333730409,0.8442634662094584,-0.2045627247290305,-0.30154048869849964,0,0,0,0,0,1,0,0
33,34,-0.6886428362235679,-0.5944967026696925,-0.6660495882788399,-0.3437872923693318,0.20375462397611432,-0.4936419488498356,0.12745357624249204,-0.30154048869849964,0,0,0,0,0,1,0,0
34,35,-1.0470522376408224,-0.801205234597995,1.146010699252192,1.2278646604072587,0.24995534904138733,0.6139448492641808,0.7274265495182194,0.7826175483287037,0,1,0,0,0,0,0,0
35,36,-0.7151339508558369,-0.5567994515681054,-0.6049569852099894,-0.7393644966291725,-1.083904293972144,0.49392770395770835,0.10291424168591058,-0.30154048869849964,1,0,0,0,0,0,0,0
36,37,-0.8245580288494957,-0.6522079047822494,-0.6890867440000937,-0.6670997180778362,-1.070863766735978,0.4839262751821689,0.2790995965023277,-0.30154048869849964,0,0,0,1,0,0,0,0
37,38,-0.18920740221788368,-0.5805656488845465,-0.19531430729982777,-0.2301729050955083,-1.6148400457303231,0.9011287326760966,-0.4057627029076654,-0.30154048869849964,0,0,1,0,0,0,0,0
38,39,0.9290247890977701,1.312355139099511,-0.27046692470425154,0.3594581850316186,0.13817940130282333,0.12816116588084014,-0.30895946627433146,0.05984552364390145,0,0,0,0,0,0,0,1
39,40,-0.6927224843084682,-0.6193478587276028,-0.5628045438244386,0.2963615261885218,-0.43187793216385334,-0.006143734819259894,0.10370213426034511,-0.6629265010409007,0,0,0,0,0,1,0,0
40,41,-1.0612955457333308,0.2636049379886249,0.9742047957330503,-0.3564347349128138,-0.04327022052611236,-0.304186312330333,0.3467030690193518,0.05984552364390145,0,1,0,0,0,0,0,0
41,42,-2.4140296012608595,-2.7702269204279903,-3.106268289540797,-0.8788983539580518,1.520102701843937,0.21131590227175323,3.9094953116852458,0.7826175483287037,0,0,0,0,0,1,0,0
42,43,-0.7818723394435884,-1.0357694300960978,0.30607598732149355,-0.11845412579416537,-0.10996320267678902,-0.2530361480211458,0.3731635156240711,0.05984552364390145,0,0,0,0,0,1,0,0
43,44,-0.009031797750973458,-0.05716764723599531,0.3408630397203852,-0.7389754546026904,0.8118157796739027,-0.9599942848978426,-0.8721414746519761,0.42123153598630253,0,0,0,0,0,1,0,0
44,45,-0.10788793034977276,0.2602850989077645,-0.38365798941391327,-0.643439124100666,-0.1859708471390125,0.37676810972996133,-0.8370705640340297,-1.747084538068104,0,0,0,0,0,0,1,0
45,46,-0.29029472721982785,-0.60503131351424,-0.08848484770435831,-0.21931144834586216,-1.07123635322844,0.48421203029004145,-0.3340842759632646,0.42123153598630253,0,0,0,1,0,0,0,0
46,47,-0.6710609591791112,-0.3676750547947096,-0.5215809100572614,0.6206679258259727,-1.4225854156199929,0.7536790970138592,-0.06386978542759535,-0.30154048869849964,1,0,0,0,0,0,0,0
47,48,-1.163826627759501,0.8843395098271861,-0.7816507948284028,0.7608154558831132,1.5435756508690357,-0.9497071010144307,0.4679422700480168,-1.0243125133833018,0,0,0,0,0,0,1,0
48,49,-0.9362720835043843,0.19098365191322456,0.7722590085744545,-1.049090774371254,0.1623975233128457,-0.4619231318759822,0.12912399879372521,0.7826175483287037,0,0,0,0,0,1,0,0
49,50,-0.3385120997000066,-0.7108617220385876,0.35118294900560443,-0.8703533419586064,-0.9687750678014229,0.4056293756250895,-0.1796531712854342,1.5053895730135058,0,0,0,1,0,0,0,0
50,51,1.294110662760717,0.9864088035064625,0.04972302966455766,-0.44906867875358536,0.2894495172423469,0.012144592084583516,-0.32803149598569614,-1.0243125133833018,0,0,0,0,0,0,1,0
51,52,-0.2842029642366267,0.33585501426444303,0.7370833381308947,0.6263782830288039,0.5077852018250082,-0.1553079011287326,-0.48497213589160154,-0.6629265010409007,0,0,0,0,1,0,0,0
52,53,0.12121622733018186,-0.18583601409936895,-0.3205106574218121,0.42614197223553996,-1.148734343660511,0.5436490927275326,-0.8583221249354356,-0.30154048869849964,1,0,0,0,0,0,0,0
53,54,2.9171737366989534,-2.793698189090071,-1.638166073300248,1.9008352974816611,1.05697769171382,-0.0050007143877697224,2.994656126642512,0.7826175483287037,0,1,0,0,0,0,0,0
54,55,-2.50114080320624,-2.6798471997886946,-1.2620831361926514,3.0743696718309987,1.3695777588893374,-0.24474924989284186,3.0727335884429583,1.1440035606711048,0,0,0,1,0,0,0,0
55,56,-0.7451397551609552,-0.395227733937798,0.47843497242576727,-0.7619541980610722,-0.6688429413696093,0.17559651378768404,-0.014296293151011196,-1.0243125133833018,0,1,0,0,0,0,0,0
56,57,2.357114897974112,-1.623583948215553,1.6269149796966678,3.677815321028465,1.190736242507635,-0.10758679811401617,1.803774004128509,0.05984552364390145,0,1,0,0,0,0,0,0
57,58,-0.37056352250356095,0.4432610773760846,0.5640436631028224,0.971381548522101,-0.49857091431453,0.6165166452350337,-0.5093901694614024,-1.0243125133833018,0,0,0,0,0,0,0,1
58,59,-0.353467790059373,-0.5387240096092427,0.23693416432530198,-0.17161964129267046,0.8229933744477589,-0.9685669381340192,-0.3233336605595055,1.1440035606711048,0,0,0,1,0,0,0,0
59,60,-0.6756054167114284,-0.548287022099414,-0.6921319087677257,-1.0784104012258187,-0.9385955619120105,0.38248321188741263,0.10310821702168532,-1.3856985257257028,0,0,1,0,0,0,0,0
60,61,-1.1419307915402839,2.436522635653635,-0.18215199701224005,2.7304286098349726,0.1501021690616035,0.690527218174025,1.248855773190741,0.05984552364390145,0,1,0,0,0,0,0,0
61,62,0.4868794922019023,0.0688426916161784,-0.16754301106296732,-0.24071505897280626,-0.34096682800315464,-0.0758679811401628,-1.2231977276376589,-1.0243125133833018,0,0,1,0,0,0,0,0
62,63,-0.17646707678751997,0.33877764824194173,-0.08788221554297751,-0.8894213534425109,0.7794007548297193,-0.9351335905129304,-0.8862240460005464,1.1440035606711048,0,0,0,0,0,1,0,0
63,64,-0.10916221127362898,0.586782688516528,-0.39259194440479,-0.5566401956227387,0.7268660593925941,-0.32333190455779404,-0.7706024206934409,-0.6629265010409007,0,0,0,0,0,0,0,1
64,65,-0.7571602977363021,0.47056646960808884,1.125989606673663,-0.3754389250709258,0.8468389099653192,-0.9868552650378626,0.17576814806626528,1.1440035606711048,0,0,0,0,0,1,0,0
65,66,-0.14026300239227554,-0.3711080073069556,-0.20676320387427627,-0.05305792986651318,-1.28919945131864,0.6513787683954853,-0.5996061694099234,-0.6629265010409007,0,1,0,0,0,0,0,0
66,67,-0.7568193551397804,-0.11214131510493779,-0.35569456915369463,-0.38530985665282386,-0.0570559207472019,-0.29361337333904847,-0.13784609452400448,-0.6629265010409007,0,0,1,0,0,0,0,0
67,68,-1.8254278744293215,-2.2990988050760848,-3.063240358780983,-0.1094203145058135,1.3610082695627141,0.3333333333333335,3.2566624459924385,0.7826175483287037,0,1,0,0,0,0,0,0
68,69,-0.7386462898792577,-2.9205776241468238,0.21967126167255513,0.5739662867567997,-0.11741493252602647,-0.24732104586369474,0.2282317927022378,0.05984552364390145,0,0,0,0,0,1,0,0
69,70,0.7029249831339862,0.22481584554145084,0.2572076650360055,1.5642731037993345,0.7712038519955577,0.21417345335047866,-1.5040422335507382,0.7826175483287037,0,1,0,0,0,0,0,0
70,71,1.6206050504698797,1.338649735189717,0.15256359704382982,0.644295023168343,0.72015950252828,-0.8896985283611945,0.18181894686094982,0.42123153598630253,1,0,0,0,0,0,0,0
71,72,-0.5343120413146949,-0.45356176670506476,-0.5229165783272083,-0.5401376999567448,0.31366763925236896,-0.5779397056722388,-0.1354275856201091,-0.6629265010409007,0,0,0,0,0,1,0,0
72,73,-0.16049288212750207,-0.4774541551724529,-1.3552402512412942,1.1526789631737133,-0.7202598773293488,0.7865409344192029,0.18934214350727355,-1.0243125133833018,0,0,0,0,0,0,1,0
73,74,0.047966266720268214,-0.2451952661221096,0.009526223164911838,-0.8052256103754274,-0.23030863974197616,-0.16073724817831114,-0.8591753332737346,1.5053895730135058,1,0,0,0,0,0,0,0
74,75,-0.7577692852819452,0.16526503113403312,0.8349094408807946,0.02471657827862405,-1.6167029781926325,0.9025575082154593,-0.006801027492525902,1.1440035606711048,0,0,1,0,0,0,0,0
75,76,-0.8168147672631951,-0.574537082557479,-0.634258312426199,0.20900994829968783,-1.6927106226548563,0.9608515502214603,0.20923038563583615,-0.30154048869849964,0,0,0,0,0,1,0,0
76,77,-0.5664687786623174,-0.5060253696890676,-0.5786648977042367,-0.11212165075217884,-0.4065420506764456,-0.025575082154593476,-0.05696360795687492,-1.0243125133833018,0,0,1,0,0,0,0,0
77,78,-0.40451571765681926,-0.4200124582672861,0.44217618867533026,-0.5934919057209891,0.4727620715335917,-0.6999571367338191,-0.3072039649020277,0.05984552364390145,0,0,0,0,0,1,0,0
78,79,0.036423171529011485,-0.41584890787414314,0.31174506030902915,-0.7942577872875878,-1.306338429971886,0.6645235033576227,-0.653699285560097,0.7826175483287037,0,0,0,0,0,1,0,0
79,80,-0.23680617547856245,0.8493830831395239,0.008781317039704402,-0.21449939991679554,-0.3737544393398001,0.5207886840977283,-0.6307010199756602,-1.0243125133833018,0,0,0,0,0,0,0,1
80,81,2.7173218719925187,3.1288117253005687,-0.7352399502058101,3.9587064121097297,0.08601729235816023,0.7396770967281041,2.4023771080736136,0.7826175483287037,0,0,1,0,0,0,0,0
81,82,0.44470884162732366,0.0890456859349863,-0.11939656897208935,-0.43887875787342734,0.7797733413221809,-0.935419345620803,-1.278895760695365,-0.6629265010409007,0,0,0,0,0,1,0,0
82,83,0.4295472780774309,0.07842266687650645,-0.15042768381028307,0.351230727088679,-0.24595727242537538,-0.1487355336476639,-1.25380541680013,-0.6629265010409007,0,0,0,0,0,1,0,0
83,84,-1.2587579899451,-0.7123523074589118,-3.1128462874322214,3.363862707229367,0.3308066179056152,0.5519359908558368,2.28680172796447,0.42123153598630253,0,1,0,0,0,0,0,0
84,85,-0.20225371391886682,-0.17144294991729384,-0.34077709860651617,-0.6634483149201702,0.36694750767441775,-0.618802686098014,-0.636725323250344,1.1440035606711048,1,0,0,0,0,0,0,0
85,86,-0.06116120581942413,0.32979054032026456,0.6699399935943754,0.8675663425101336,0.8304451042969967,-0.40277182454636384,-0.7009868915295407,-1.0243125133833018,0,0,0,0,1,0,0,0
86,87,-0.2993832702814046,-0.22183519582707603,0.618807176662434,0.4913574255815485,0.1568087259259173,-0.4576368052578941,-0.4191374523809881,0.7826175483287037,0,1,0,0,0,0,0,0
87,88,1.3290922866645463,0.4858586004815208,-0.21173558042982346,0.0602079049254635,1.5640679079544388,-0.9654236319474211,-0.47363602624228246,-1.3856985257257028,0,0,0,0,0,0,0,1
88,89,-0.09632080148830748,-0.4220472658968008,-0.07150540888859379,-0.623769440569604,0.3989899460261396,-0.6433776253750536,-0.6141853699882679,0.7826175483287037,1,0,0,0,0,0,0,0
89,90,1.4547191133318245,1.2049336020262102,-0.1938694007240496,0.16818830793848874,0.5230612480159454,-0.7385340762966137,-0.03546095222673664,-1.747084538068104,0,1,0,0,0,0,0,0
90,91,1.3743337925758636,1.0080886212529272,-0.10745689821226549,-0.8058106552430775,-1.3868171123436523,0.7262466066580942,-0.23654952610594532,-1.747084538068104,0,1,0,0,0,0,0,0
91,92,0.31454986642278976,-0.12307545655242622,-0.10161571806884374,-0.4249603545558229,0.8144238851211361,-0.9619945706529505,-1.0807967128967904,-0.6629265010409007,0,0,0,1,0,0,0,0
92,93,-0.004108532854322105,-0.46561010735014574,0.1056610849606745,-0.5451057827137269,0.0767026300466131,-0.39619945706529514,-0.633974552313551,1.5053895730135058,0,0,0,1,0,0,0,0
93,94,-0.7658004868040417,-0.5953357848486875,-0.7121201422734332,0.9779328373626948,-0.9561071270577189,0.3959137019574226,0.209988930867802,-0.6629265010409007,0,0,0,1,0,0,0,0
94,95,1.556139416954863,1.1758211184790728,-0.04528569737172238,-0.49134517703972347,0.23952292725245453,-0.5210744392056008,0.020931612040359933,-1.0243125133833018,0,1,0,0,0,0,0,0
95,96,0.16999460075579956,0.06087065397075744,-0.02460186704866826,-0.8349396214375487,0.35651508588548525,-0.6108015430775826,-1.1822271201304788,1.5053895730135058,1,0,0,0,0,0,0,0
96,97,-0.3222484579535412,-0.16389855080749638,0.2492303961288298,-0.2716667423929821,-1.6606681843031346,0.9362766109444207,-0.5808321923842849,1.1440035606711048,0,0,0,1,0,0,0,0
97,98,-0.6665504753343936,-0.8458423957608594,0.30298009409628124,0.22944840695581098,-1.3249677545949803,0.6788112587512503,0.14771894173973665,-1.3856985257257028,0,1,0,0,0,0,0,0
98,99,-0.07690517783476189,-0.2016869665088545,-0.06384139302587463,-0.37462087672723005,-1.4460583646450915,0.7716816688098302,-0.7976640798506406,-0.6629265010409007,0,1,0,0,0,0,0,0
99,100,0.1276696364948646,-0.17753270402268273,0.18591766786431582,0.541959613427818,-1.0090144089873059,0.436490927275325,-0.9419900541284436,1.5053895730135058,0,0,0,0,0,1,0,0
100,101,-0.7002924403159774,-0.7383064583854155,0.19384883769155337,-0.9751438016648898,-1.0786880830776775,0.48992713244749275,0.08498360860594786,-1.3856985257257028,0,0,1,0,0,0,0,0
101,102,-0.5724953316625936,0.5494792886797232,1.10768597633065,-1.0351057512348674,-0.1643608305762235,-0.211315902271753,0.027691968255497836,1.1440035606711048,1,0,0,0,0,0,0,0
102,103,-0.704603243445504,-0.5880254019962676,-0.7150339283178409,-0.6878246178032877,-1.2623732238613845,0.6308044006286613,0.1581350298658966,-1.747084538068104,0,1,0,0,0,0,0,0
103,104,-0.35817781167919915,-0.31096588253944946,0.356700662625044,-0.04765937952322122,-1.6353323028157265,0.9168452636090869,-0.4388110070469245,-1.0243125133833018,0,1,0,0,0,0,0,0
104,105,0.4660172329860014,0.04050152856023165,-0.23122790778394114,0.38859810036106207,0.6937058615634869,-0.8694099157022432,-1.1651134106108718,-0.6629265010409007,0,0,0,0,0,1,0,0
105,106,0.3037902168477547,0.08995990181552291,-0.33418971802677,-0.3743343101590446,-0.4572138136512612,0.013287612516073688,-1.1041913356689734,0.42123153598630253,0,1,0,0,0,0,0,0
106,107,0.10142812574696201,-0.031393971411884575,-0.14830169533042867,-0.24032975186983646,-1.4371162888260063,0.7648235462208888,-1.0345026033792901,-1.3856985257257028,0,1,0,0,0,0,0,0
107,108,-0.6675167024400898,-0.12536281112097183,-0.6956292751795989,0.5571988115720126,-0.6073661701133991,0.1284469209887127,-0.08324219699977341,0.05984552364390145,0,0,0,0,0,1,0,0
108,109,-0.10177083886256953,0.2188125002091224,0.03964778399027439,-1.1784046686294714,-0.9859140464546693,0.4187741105872269,-0.9741783030509905,0.7826175483287037,0,0,0,0,0,1,0,0
109,110,-0.7669388119737806,0.20011500833572862,1.0075369771070142,-0.5775364146477602,-1.0030530251079157,0.4319188455493643,0.10049035076623611,1.1440035606711048,0,0,1,0,0,0,0,0
110,111,0.3842392828993605,0.2164504460408645,-0.3284516280496673,-0.8463718312754686,0.294665728136813,-0.5633661951707387,-1.1712054630244453,-1.3856985257257028,0,0,1,0,0,0,0,0
111,112,0.557513993809754,0.18050488199868595,0.10844117338862852,0.6846525669566313,-1.627880572966489,0.9111301614516361,-1.3148974499477286,-1.3856985257257028,0,0,1,0,0,0,0,0
112,113,-1.2749028574548744,0.9625136219957486,-0.9004553301878282,-1.1784046686294714,0.963085895613426,0.06700957279611375,0.6478956890540908,-0.30154048869849964,0,0,1,0,0,0,0,0
113,114,-1.0583617053426937,-0.6187224221756878,-0.6158602756383745,1.4141978181053025,1.7108669859844199,-0.5065009287041007,0.43641084876370473,1.5053895730135058,0,0,0,0,0,1,0,0
114,115,-0.36358789640353467,-0.06131752309995087,0.08238882127972082,-0.7363019887243861,-0.38903048553073716,-0.039005572224603435,-0.614037547777517,-0.30154048869849964,0,1,0,0,0,0,0,0
115,116,-1.5406952245961412,-2.1659034427833324,-2.670041575531958,-0.5628866975100735,1.28090217368341,0.3947706815259324,2.7607662466354754,-0.6629265010409007,0,1,0,0,0,0,0,0
116,117,-0.7272912428316953,-0.554844300016525,-0.7488588754733446,1.068287577979496,0.5349840157747259,-0.7476782397485355,0.17408259378587865,-1.0243125133833018,0,0,1,0,0,0,0,0
117,118,-0.028255170583194652,0.07334001229466995,-0.29838998134513584,0.17371834342732662,-0.6390360219726589,0.15273610515787972,-0.9169063208328246,0.42123153598630253,0,0,0,1,0,0,0,0
118,119,0.3384112621351477,-0.3559705137950238,-0.4422686128183234,0.7812303549496187,0.7067463887996528,-0.8794113444777826,-0.7171305048979177,-0.6629265010409007,0,0,0,1,0,0,0,0
119,120,-1.3077382952426748,0.3100607594411582,0.22238116881308512,-0.6923134975383479,0.9798522877742105,-0.5173596228032575,0.3601899537075428,-0.30154048869849964,0,0,0,0,0,0,1,0
120,121,1.6047950778156004,1.404274933925303,0.05793911999476192,1.0291077983927386,0.39600925408644416,-0.641091584512073,0.2065617263593204,-0.30154048869849964,1,0,0,0,0,0,0,0
121,122,0.32967264536451063,-0.11702832417244494,-0.29609932233853203,-0.7593156176115934,0.5707523190510665,-0.7751107301043005,-0.9995070577886895,-0.30154048869849964,0,0,0,0,0,1,0,0
122,123,-2.4653898937852117,-2.912684613890558,-3.104019322099916,-0.7279782992546986,2.1728742366371514,-0.2893270467209601,4.025618759083051,1.5053895730135058,0,0,0,1,0,0,0,0
123,124,-1.561325606890099,0.7004574463663746,-0.5387529968304187,0.9627945706186041,0.6109916602369494,0.33704814973567654,0.7409528495960307,1.866775585355907,1,0,0,0,0,0,0,0
124,125,-0.019830368893504972,-0.7015469643458019,-0.07548177778768603,-0.09519064079648114,-1.5380872282831757,0.8422631804543506,-0.41058744805860864,0.42123153598630253,0,0,1,0,0,0,0,0
125,126,-0.6447028787013829,-0.5877513666951185,0.18063451369092004,0.47460116845785544,-1.0578232394998122,0.47392484640662946,-0.06109582621488415,-1.0243125133833018,0,0,0,1,0,0,0,0
126,127,-1.0207981080946682,0.48048202809162804,0.814276623621464,-0.6210662984687535,0.5707523190510665,-0.7751107301043005,0.23838608062588412,-0.30154048869849964,0,1,0,0,0,0,0,0
127,128,1.6758195002296132,1.2533606277944225,-0.03444230489336518,0.7537327551808781,-0.06897868850598207,-0.28446920988712665,0.1739570700982537,-1.747084538068104,0,1,0,0,0,0,0,0
128,129,0.7265442772229976,0.6625293637070534,0.010682552695621817,-0.1461353782228441,-0.6304665326460356,0.7176739534219174,-1.0202448184836754,-1.0243125133833018,0,0,0,0,0,0,0,1
129,130,-0.6653757261610946,-0.5359788313147453,-0.5711972245041071,0.8332977803692599,-0.8968658747562799,0.3504786398056865,0.03702769745088,-1.0243125133833018,0,0,1,0,0,0,0,0
130,131,0.16965431903287773,0.41549167466316583,-1.8828175069744648,1.799657986071034,0.1944399616645675,0.656522360337191,0.4241324342268522,0.7826175483287037,0,0,0,0,0,1,0,0
131,132,-0.43229390485505964,-0.179391248945335,-0.11652418018477885,1.0665665726280327,-0.010855195681928878,-0.3290470067152451,-0.4859720769877883,-1.3856985257257028,0,1,0,0,0,0,0,0
132,133,0.12116695785769721,1.0927214496436548,-0.35409018546643783,-0.007393906071228729,1.3118268525577461,-0.7719674239177026,-0.5822038352888068,-1.747084538068104,0,0,0,0,0,0,1,0
133,134,0.7588307617013598,0.7811380329154114,-0.4948955013903353,-0.828787868418375,-0.4296424132090823,0.5636519502786115,-0.7143499654690008,-0.30154048869849964,0,0,0,0,0,0,0,1
134,135,0.5776183189245858,-0.3396539476218665,-0.3346057015988761,0.6405400696785511,-1.1800316090273089,0.5676525217888271,-0.7692412597358876,-0.30154048869849964,0,0,0,1,0,0,0,0
135,136,0.10925497857337826,0.046102824212780544,-0.10258063961937869,1.0470201934891155,-1.6986720065342464,0.965423631947421,-1.1055159790628892,0.42123153598630253,0,0,0,0,0,1,0,0
136,137,0.12530918977532066,-0.024103132145387274,-0.2376934775815086,0.8136972754353853,-1.2612554643839988,0.6299471353050436,-1.016843403822369,-1.747084538068104,0,1,0,0,0,0,0,0
137,138,-0.08148178552200591,-0.5080883604955829,-0.29257392222161815,-1.0238276165444165,0.5979511330007835,-0.7959708529789971,-0.5052047044418482,0.42123153598630253,0,0,0,0,0,1,0,0
138,139,-0.7481811582620489,-0.1468799069220857,-0.006401160636113761,0.25132300101792826,-0.07121420746075345,-0.2827546792398914,-0.1890213632762101,-1.3856985257257028,0,0,1,0,0,0,0,0
139,140,-1.0065581444412244,0.12517942958314046,0.673104737573295,-0.8545690507083743,-0.29700162189265283,-0.10958708386912419,0.16166511813743592,0.05984552364390145,0,0,1,0,0,0,0,0
140,141,0.8094046754670536,1.0599594450048724,-0.6728866667640846,0.12734435882294312,-0.19752102840533067,0.3856265180740106,-0.3910217189086455,-1.3856985257257028,0,0,0,0,0,0,0,1
