Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Overall_happiness_score,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_government_satisfaction,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Avg_education_importance,Num_of_kids_born_last_10_years,Financial_agenda_matters
Greens,3,211.2349718,24669.49816,Healthcare,70.41165726,Yes,350.360993,Yes,,After_16:00,0.616842422,0.416138427,554.7887818,5.75933628,2.419337793,0.403,9597,16.12303541,526.4767234,4556.563377,63216.74802,Yes,122752.8254,22.94508059,219.4843964,85.56335631,5038.213136,80,30-45,2,838.0493517,11,Motorcycle_or_truck,Services_or_Retail,658.3684027,1,Yes
Khakis,3,637.7663891,27023.74981,Financial,212.5887964,Yes,127.1174694,Yes,Female,By_16:00,0.711851109,0.713895242,20.13188181,2.543334998,26.98506587,12.795,3205,57.39650046,137.2977045,,15899.92388,No,16158.85102,11.71741031,644.325963,28.80318677,45416.58514,60,Below_30,1,196.1733885,8,Foot_or_bicycle,Industry_or_other,119.787415,3,Yes
Purples,3,722.4910001,114622.6637,Environment,240.8303334,Yes,475.9477849,Yes,Female,After_16:00,0.95915656,0.498073973,949.0040054,2.739359655,82.84898214,0.412,9588,97.11935269,416.4890832,5592.456015,52771.47742,Yes,226526.2939,20.40806417,87.11475605,73.44810241,58250.07981,90,45_and_up,3,669.4183972,,Motorcycle_or_truck,Hightech,493.9668878,0,Yes
Khakis,6,103.0438931,1563.73909,Social,34.34796436,No,45.52639783,Yes,Female,After_16:00,0.832689827,0.995140832,505.678545,3.41912105,53.14330729,10.782,5218,76.08887395,54.35552227,563.9750229,6118.745992,Maybe,2072.6529,7.37261977,783.3913829,41.54934452,1224.13062,70,Below_30,3,75.13251085,13,Car,Public_Sector,43.31980205,2,Yes
Purples,3,52.14767211,7101.548748,Education,17.38255737,Yes,408.544531,Yes,Male,By_16:00,0.291197084,0.28609608,144.0982828,6.797170613,87.60289308,6.488,3512,96.43085494,430.6196324,4946.684575,52037.18944,Maybe,,20.75137664,120.6987122,97.14468683,329.5358581,100,45_and_up,3,659.7678141,14,Car,Hightech,462.7113836,0,No
Violets,10,92.13322124,2084.692718,Social,30.71107375,No,67.88081508,Yes,Female,By_16:00,0.666062984,0.434016356,577.1348597,3.743471974,56.72844546,11.32,4680,72.01272009,33.64989535,746.1079415,14569.00854,No,4607.805056,5.800852985,636.6714602,99.83129154,983.8811244,70,45_and_up,0,270.1826189,9,Car,Services_or_Retail,466.2192632,1,No
Violets,6,504.3896849,11748.87632,Environment,168.129895,No,69.87975766,Yes,Male,By_16:00,0.810131659,0.783559203,915.2955445,7.297369591,99.20626383,8.27,7730,92.88177863,289.5016447,1277.800866,32560.12363,Maybe,4883.180531,17.01474786,499.7490349,1.674007345,28445.79148,90,45_and_up,1,446.0619816,11,Motorcycle_or_truck,Public_Sector,357.0450512,0,No
Khakis,7,203.3370222,396.4894947,Social,67.77900741,No,5.849738877,Yes,Female,After_16:00,0.947585109,0.585887074,567.208604,1.811340391,78.55726003,8.445,7555,53.13508131,85.99793434,230.4932574,8541.577404,No,34.21944493,9.273507122,776.0606718,3.736454248,4671.772852,70,45_and_up,4,111.9460951,9,Foot_or_bicycle,Industry_or_other,67.92596069,0,Yes
Khakis,1,87.52468552,5185.164012,Social,29.17489517,Yes,177.7269115,Yes,Female,After_16:00,0.433563313,0.511711132,60.91042212,6.087982783,30.58983751,6.291,9709,28.82198577,299.2856705,2375.840456,33864.67157,Maybe,31586.85506,17.29987487,429.1132468,17.9257351,890.3494036,70,45_and_up,2,437.139804,13,Foot_or_bicycle,Student_or_Unemployed,300.0200188,0,No
Purples,10,266.7131019,36665.43176,Healthcare,88.9043673,No,412.4142928,Yes,Female,By_16:00,0.898145008,0.077792374,883.7788282,7.396127589,59.90798313,2.517,7483,64.92213651,486.2307476,5096.604423,57126.27129,Maybe,170085.5489,22.05064053,89.51253091,94.9538429,8002.890892,80,45_and_up,3,722.6918957,10,Car,Hightech,487.6855871,0,No
Khakis,8,479.1069106,4522.837468,Education,159.7023035,No,28.32042724,Yes,Male,After_16:00,0.60307644,0.312841348,86.77098085,7.473310134,67.96282239,12.375,3625,89.61588042,370.4505531,1024.105379,33927.55759,No,802.0465993,19.24709207,592.4957606,31.64302695,25674.52806,100,Below_30,4,419.0650639,12,Foot_or_bicycle,Industry_or_other,165.6550467,2,No
Khakis,9,165.1524338,247.5316803,Financial,55.05081127,Yes,4.496422026,Yes,Female,By_16:00,0.934562657,0.369056251,780.7269723,5.099023303,88.01905415,6.218,9782,,72.0917345,189.1476893,7482.837286,No,20.21781103,8.490685161,782.5882115,9.559895028,3095.642633,60,30-45,1,100.9639283,9,Public_or_other,Hightech,71.26345005,0,Yes
Purples,8,292.3381357,38441.79969,Education,97.44604524,No,394.4931741,Yes,Male,After_16:00,0.906248813,0.645455608,414.7457909,1.206903891,17.34037411,0.853,9147,74.30281432,496.7123796,4938.3565,59993.77674,Maybe,155624.8644,22.28704511,138.1660318,16.19137852,9603.177778,100,Below_30,1,781.0644245,15,Motorcycle_or_truck,Hightech,589.1479309,0,Yes
Browns,9,433.1035162,72543.02254,Social,144.3678387,Yes,502.487418,No,Female,By_16:00,0.143404182,0.121356311,977.5372331,8.371009731,39.60900207,3.126,6874,70.2473423,429.065239,5883.004658,53500.48264,Yes,252493.6053,20.71389,80.36767873,29.90090032,20996.4407,70,45_and_up,0,667.5591399,6,Motorcycle_or_truck,Industry_or_other,462.303366,0,No
Khakis,3,106.9682885,8861.460343,Social,35.65609616,Yes,248.5258146,Yes,Female,By_16:00,0.768763407,0.790417527,831.181509,3.095041944,66.97137179,7.123,8877,25.48868794,477.5063446,3440.270835,46691.83451,Yes,61765.08052,21.85191856,403.309485,14.55768482,1317.013289,70,Below_30,1,547.3558589,11,Foot_or_bicycle,Public_Sector,185.4951348,1,No
Yellows,,953.0220745,89809.79245,Education,317.6740248,Yes,282.7105316,Yes,Female,By_16:00,0.638107768,0.044144742,515.341033,,40.53094026,6.391,7609,78.57447059,304.4567072,3436.01873,36033.57343,No,79925.24469,17.44868783,354.9064218,97.35171648,101244.4601,100,45_and_up,5,451.6507379,13,Motorcycle_or_truck,Public_Sector,298.7372966,0,Yes
Oranges,8,78.4390502,11165.03478,Other,26.14635007,No,427.0207791,Yes,Female,After_16:00,0.402367762,0.643285559,969.6756678,8.979714138,35.39531033,4.03,7970,85.71016616,448.9466368,5168.101065,48052.19177,No,182346.7458,21.18836088,301.4111432,76.23147396,719.7779718,50,30-45,1,552.7781289,11,Public_or_other,Services_or_Retail,212.0481556,0,Yes
Whites,2,160.1366105,16041.27532,Social,53.37887016,Yes,300.5173259,Yes,Female,After_16:00,0.656332218,0.355343793,789.3795297,0.297421303,18.26393593,4.968,5032,71.69970332,294.0717299,3593.316718,40853.95606,Maybe,90310.66314,17.14851976,288.4062798,16.58320909,2912.68265,70,45_and_up,6,560.3559228,7,Motorcycle_or_truck,Public_Sector,531.2792665,3,Yes
Violets,1,791.8744523,10079.90451,Environment,263.9581508,Yes,38.18750997,Yes,Male,After_16:00,0.090740522,0.67904501,874.7365701,6.236579418,91.74012684,12.572,3428,20.96577494,50.1509259,482.1769515,10418.65204,Yes,1458.285917,7.081731843,691.3569339,15.44317664,69947.86351,,30-45,0,174.1152429,15,Foot_or_bicycle,Public_Sector,250.3213172,1,No
Khakis,1,430.9960292,9995.670275,Education,143.6653431,Yes,69.57607215,Yes,Female,After_16:00,0.32440684,0.676461421,213.336128,5.249172768,3.11959181,9.405,6595,11.74683666,133.4150069,962.5907353,12822.40172,Yes,4840.829815,11.55054141,727.596776,74.34518265,20793.39615,100,30-45,3,148.0399818,16,Car,Hightech,42.01773662,4,Yes
Blues,2,1077.783053,213610.2443,Environment,359.2610178,No,594.5823055,No,Male,After_16:00,0.915815491,0.596534607,862.3251941,8.650237154,26.87535675,7.579,6421,50.29912293,615.7582414,7177.339538,,No,353528.118,24.81447645,510.7471138,35.72552979,129437.7399,90,45_and_up,1,1107.831573,14,Foot_or_bicycle,Student_or_Unemployed,988.3818498,2,Yes
Turquoises,1,135.1399006,1079.900533,Financial,45.04663352,Yes,23.97294645,Yes,Female,After_16:00,0.239386684,0.6628905,854.0250394,8.929458864,95.74535976,11.23,4770,14.78284714,15.91859819,271.5666609,1927.525322,Maybe,574.7021616,3.989811799,836.8596908,65.73483013,2084.245825,60,45_and_up,4,22.08267164,11,Car,Industry_or_other,10.71727724,1,No
Khakis,3,528.1812808,48841.16491,Education,176.0604269,Yes,277.4113738,Yes,Male,After_16:00,0.309995563,0.765838345,308.1740087,3.648419436,63.69494472,10.852,5148,60.45297356,388.0312296,3550.176198,38643.64487,No,76957.07034,19.69850831,449.8631082,59.80115156,31183.33435,100,30-45,3,439.6899646,12,Motorcycle_or_truck,Industry_or_other,125.4414411,0,Yes
Whites,9,158.2343071,14930.14155,Financial,52.74476903,Yes,283.0639288,Yes,Male,After_16:00,0.625385536,0.290018805,174.3708188,8.936556911,14.05109353,2.938,7062,78.79011221,313.0917722,3456.822833,41957.40948,Yes,80125.18781,17.69439946,287.5272186,67.23924277,2844.755429,60,45_and_up,3,573.088573,7,Motorcycle_or_truck,Services_or_Retail,525.9991701,1,No
Reds,1,225.8119893,42676.3466,Other,75.2706631,No,566.9718432,No,Female,After_16:00,0.433337179,0.933844271,598.9516256,0.592142597,52.75221653,2.185,9815,40.60237182,509.2851373,6688.288706,63801.891,Yes,,22.5673467,107.4435557,62.71318027,5750.943387,50,45_and_up,0,806.8050836,8,Public_or_other,Hightech,583.5025515,0,Yes
Purples,3,280.2538111,44850.75354,Healthcare,93.41793704,No,480.1085848,Yes,Female,After_16:00,0.621072873,0.600177868,108.8840999,9.590695428,13.07700549,1.867,8133,76.26679814,414.1102623,5629.306373,51881.3177,No,,20.34969932,96.62237682,25.92611981,8830.328897,80,30-45,4,650.9416332,11,Public_or_other,Industry_or_other,460.4630772,0,Yes
Purples,10,189.827918,20020.99302,Education,63.27597268,No,316.407511,Yes,Male,By_16:00,0.408380602,0.480817235,693.8998206,9.539763292,64.31823468,0.851,9149,18.90927984,346.3594001,3856.79391,45125.89883,No,100113.713,18.61073346,240.5394664,35.48131404,4077.124691,100,30-45,4,605.0646272,14,Car,Services_or_Retail,523.4008321,3,Yes
Purples,4,172.1081938,20161.63657,Healthcare,57.36939792,Yes,351.4353871,Yes,,After_16:00,0.05159879,0.195373427,241.9296294,3.58308654,36.66333905,5.13,4870,56.23583749,457.0898362,4428.533543,54874.09708,Yes,123506.8313,21.3796594,158.8171234,1.872264268,3358.617216,80,30-45,2,714.6224044,14,Foot_or_bicycle,Student_or_Unemployed,536.1960264,1,No
Purples,3,210.1398136,28506.68917,Healthcare,70.04660453,No,406.9674663,Yes,Female,By_16:00,0.233161076,0.278829833,280.0360185,7.885110218,33.68638749,0.675,9325,8.646597317,412.3486812,4894.372025,50222.70582,Yes,165622.5186,20.30637046,137.7903714,60.47160958,4986.573411,80,30-45,3,636.0793508,11,Public_or_other,Industry_or_other,448.5375821,0,No
Blues,3,1068.692066,83176.05718,Financial,356.2306887,No,233.4893085,Yes,Female,By_16:00,0.031142015,0.787854205,320.210377,6.853917064,95.13308217,7.859,6141,93.1743623,271.9115133,2878.716112,36626.61416,Yes,54517.25719,16.48973964,351.7427297,93.56258109,127266.5343,60,Below_30,1,505.1209201,9,Car,Industry_or_other,474.1032545,2,Yes
Oranges,5,388.3241869,44524.84765,Military,129.4413956,Yes,343.9768819,Yes,Female,By_16:00,0.240602275,0.099125588,917.8407888,3.54116939,31.31242972,6.959,5041,6.530188071,306.5572767,4052.883372,45315.7866,Maybe,118320.0953,17.50877713,290.1376688,51.21206997,16894.5163,30,30-45,2,635.1600518,8,Motorcycle_or_truck,Industry_or_other,649.7216292,1,Yes
Greys,4,479.6424429,82899.35303,Military,159.8808143,Yes,518.507198,No,Male,By_16:00,0.820404458,0.764430826,196.2003335,9.695549184,9.253499913,8.405,3595,53.76821426,676.9398549,6538.95169,74040.77267,No,268849.7144,26.01806786,178.8803902,29.45915454,25731.75559,30,30-45,1,901.7696743,8,Public_or_other,Student_or_Unemployed,481.3461702,3,No
Pinks,7,231.1700025,56200.00926,Healthcare,77.05666751,Yes,729.3335032,No,Male,After_16:00,0.768062607,0.688688225,649.7629869,3.902111626,62.95983458,2.832,7168,62.76882719,681.521244,8656.37752,77752.48608,Yes,531927.3588,26.10596185,293.9167328,1.315415767,6024.786676,80,30-45,2,921.7832744,9,Public_or_other,Public_Sector,470.9616089,0,Yes
Purples,7,281.0896162,40687.34398,Environment,93.69653872,Yes,434.2459662,Yes,Female,After_16:00,0.078549353,0.156527718,167.5666433,3.147602454,57.93183704,5.505,4495,15.68896107,359.5467611,5061.553184,48373.17842,Yes,188569.5591,18.9617183,158.2735575,89.22346244,8882.737907,90,Below_30,2,632.8265971,12,Public_or_other,Industry_or_other,531.619831,0,No
Browns,3,997.4450536,106911.7117,Financial,332.4816845,Yes,321.5566952,Yes,Male,After_16:00,0.286511572,0.55548437,822.2696534,1.797949183,27.9013688,2.253,7747,41.63447237,384.0873848,,45514.86903,Maybe,103398.7082,19.59814748,232.9159427,43.59639247,110886.5522,60,45_and_up,1,580.47376,6,Motorcycle_or_truck,Industry_or_other,405.2788885,1,No
Blues,4,1580.09542,67660.23996,Environment,526.6984734,No,128.461052,Yes,Male,,0.307042778,0.161778784,778.1843953,7.476710004,22.90540165,8.683,5317,91.80995873,108.1294399,1500.869399,14879.24485,Yes,16502.24187,10.39853066,629.811722,68.03633431,277947.9803,90,45_and_up,3,198.0985093,13,Public_or_other,Services_or_Retail,175.8718165,0,Yes
Reds,3,187.4199106,31444.79175,Foreign_Affairs,62.47330354,No,503.3316627,No,Female,By_16:00,0.751368654,0.492242786,900.8724547,0.409127574,81.66090632,2.347,9653,29.68667985,374.2056521,5781.727931,50818.6876,Maybe,253342.7627,19.34439588,130.8579648,1.004544273,3975.386959,40,Below_30,3,655.0660176,6,Foot_or_bicycle,Public_Sector,535.895529,0,No
Khakis,4,71.95701103,123.0279435,Financial,23.98567034,No,5.129226815,Yes,Female,By_16:00,0.877533633,0.674100887,123.5541501,8.306241159,48.68901635,7.688,8312,3.598013753,110.2689189,271.830106,11329.76792,Maybe,26.30896772,10.50090086,743.3736634,40.42584989,609.2980522,60,Below_30,2,152.3866356,11,Motorcycle_or_truck,Hightech,105.2633718,0,No
Greens,6,464.518182,47136.32351,Healthcare,154.839394,Yes,304.4207439,Yes,Male,By_16:00,0.839151409,0.251675543,176.252051,0.480998957,56.46599531,1.364,8636,22.98336392,500.6631417,4045.533722,59636.28216,Maybe,92671.98931,22.37550316,,63.76063456,24140.07733,80,,0,794.2579928,10,Public_or_other,Industry_or_other,626.4381817,1,Yes
Oranges,4,585.428921,126799.2084,Other,195.1429737,No,649.7759363,No,Female,By_16:00,0.712962911,0.523188673,268.0921231,1.184263937,44.16378522,2.653,9347,66.39726488,261.9018812,7021.563125,43489.54865,,422208.7673,16.18338287,281.2893375,82.68724205,38285.92314,50,Below_30,1,550.4981396,8,Foot_or_bicycle,Services_or_Retail,499.6177057,1,No
Khakis,10,610.4100963,18744.70634,Environment,203.4700321,Yes,92.12514565,Yes,Female,After_16:00,0.837509962,0.011508215,254.9850775,4.07244148,34.44801923,8.299,7701,0.886939047,168.7471013,1258.745659,18808.65587,Yes,8487.042461,12.99026949,624.3735293,30.18158975,,90,30-45,1,242.4492598,11,Foot_or_bicycle,Hightech,162.728708,0,Yes
Browns,5,637.1120408,67708.6126,Healthcare,212.3706803,Yes,318.8227891,Yes,,By_16:00,0.87608552,0.271381622,822.7724002,1.425757981,59.55128178,0.337,9663,32.32825734,378.2586977,3944.745286,45387.08505,Yes,101647.9708,19.44887395,231.7917198,63.97790099,45323.67651,80,Below_30,2,583.3238421,7,Car,Public_Sector,422.0174704,0,No
Khakis,5,731.5069012,6876.88978,Financial,243.8356337,No,28.20297294,Yes,Female,By_16:00,0.069478857,,661.6718676,7.902504709,93.41180541,12.38,3620,7.373094512,27.44912088,336.9279711,2946.015353,No,795.4076825,5.239190862,827.2052219,93.88026472,59709.65192,60,45_and_up,3,33.40787874,11,Car,Public_Sector,11.7667453,0,Yes
Purples,4,187.5976606,27909.10311,Education,62.53255354,Yes,446.3131846,Yes,Female,After_16:00,0.928772692,0.079332149,393.9190106,6.150446616,7.442521933,0.48,9520,57.1241763,427.0866298,5317.305106,53472.62732,Yes,199195.4588,20.66607437,91.04272977,58.23342768,3982.852806,100,45_and_up,3,683.75652,14,Foot_or_bicycle,Student_or_Unemployed,509.4944694,1,Yes
Purples,,542.2846692,68548.8361,Education,180.7615564,Yes,379.2224268,Yes,Female,By_16:00,0.243389001,0.942630029,776.4441438,3.667663026,22.46377014,5.849,4151,59.83217042,398.8812624,4589.986793,50665.67963,No,143809.649,19.97201198,161.392636,55.67410393,32865.50183,100,Below_30,2,664.489235,14,Car,Hightech,535.1477123,1,Yes
Khakis,4,655.5973593,5879.38582,Education,,Yes,26.9039483,Yes,Male,By_16:00,0.326549602,0.138236467,536.8642514,1.222741436,41.17407466,7.221,8779,67.5957534,99.00094545,467.0413739,9251.360876,Maybe,723.8224341,9.949921882,773.3481786,26.34509571,47984.96552,100,Below_30,3,110.7894657,12,Car,Public_Sector,37.99643992,1,No
Purples,10,532.6372818,82552.95262,Education,177.5457606,Yes,464.9671856,Yes,Male,After_16:00,0.55563283,0.795946265,724.2378201,3.382755739,10.03972138,3.5,6500,5.401687627,437.8993737,5525.470603,53531.07523,Maybe,216194.4837,20.92604534,81.4439778,40.05081609,31710.04287,100,Below_30,3,,12,Motorcycle_or_truck,Industry_or_other,460.6383988,1,No
Turquoises,1,371.0595222,53325.60938,Social,123.6865074,Yes,431.1352185,Yes,Male,After_16:00,0.921465411,0.117074834,847.1395832,0.433912461,39.42583024,8.5,7500,12.70742996,3.839890125,4319.031965,16284.66297,Maybe,185877.5766,1.959563759,516.0342497,71.59445602,15432.03862,70,Below_30,3,234.5731849,12,Foot_or_bicycle,Industry_or_other,376.0075239,0,No
Purples,7,378.411304,47776.74768,Healthcare,126.1371013,Yes,378.768397,Yes,Female,By_16:00,0.159126377,0.013213991,148.3151386,1.940084614,44.37386496,6.683,3317,47.69738354,451.8528298,4691.38963,53624.04949,Yes,143465.4986,21.25683019,131.9882781,,16046.70544,,45_and_up,0,684.4739595,14,Car,Industry_or_other,479.859146,0,Yes
Purples,5,827.6152538,117565.2051,Environment,275.8717513,Yes,426.1589111,Yes,Female,By_16:00,0.988284295,0.25246719,39.41910737,5.051810266,60.15528585,4.269,5731,76.52263606,,4835.116247,41236.95436,Yes,181611.4175,16.93409483,226.5018687,8.403134858,76391.09489,90,45_and_up,5,540.9458726,15,Car,Industry_or_other,480.4855409,0,Yes
Greys,8,216.921717,40978.83215,Military,72.307239,Yes,566.7320826,No,Male,By_16:00,0.188539719,0.383896793,818.8790549,2.46985866,10.83660161,3.619,8381,97.87179206,497.7679806,6662.856787,59640.04229,Yes,321185.2534,22.31071448,87.92721078,1.78914296,5310.644051,30,45_and_up,5,726.0591394,,Foot_or_bicycle,Industry_or_other,442.7894971,0,No
Purples,9,686.6115706,104537.5594,Social,228.8705235,No,456.7541411,Yes,Female,After_16:00,0.127930126,0.944013397,150.9450271,8.526376272,20.59216925,0.191,9809,10.44882655,497.6204636,5562.782338,59580.87458,Yes,208624.3454,22.30740827,48.5866727,81.20652903,52620.58707,70,45_and_up,1,754.5428987,10,Foot_or_bicycle,Public_Sector,522.0181348,0,Yes
Purples,5,363.8368427,61408.38792,Healthcare,121.2789476,No,506.3400463,No,Male,After_16:00,0.358800821,0.216433539,231.5318959,7.781496423,77.16020106,,3406,14.93599287,342.0128702,5747.426203,47601.26017,Maybe,256380.2424,18.49358998,158.219126,12.79775768,14839.86207,,30-45,2,611.3249306,10,Car,Industry_or_other,505.7586856,0,Yes
Greys,4,146.955048,29939.79377,Foreign_Affairs,48.98501599,No,611.203103,No,Male,After_16:00,0.480631989,0.079268072,170.9421556,7.328146473,80.80073374,2.886,9114,92.79693966,588.8022977,7289.635625,,No,373569.2331,24.26524877,142.6341272,86.27147817,2458.516808,40,45_and_up,2,845.8516416,8,Motorcycle_or_truck,Public_Sector,509.6185268,2,Yes
Reds,6,310.1149845,42091.90557,Other,103.3716615,Yes,407.1899877,Yes,Male,After_16:00,0.344151997,0.630822677,499.5515072,2.453073463,71.72427329,7.814,4186,95.41849056,440.6831622,4953.266201,55067.02144,Maybe,165803.6861,20.99245489,125.6394738,36.40167438,10799.07206,50,45_and_up,2,717.5542507,10,Car,Services_or_Retail,560.4408119,2,Yes
Browns,3,331.4962161,58519.98368,Education,110.4987387,Yes,529.5986575,No,Male,By_16:00,0.237416607,0.94604663,962.2477265,1.692099355,68.34396573,5.45,4550,81.48850796,486.8004613,6269.587497,59140.58116,Yes,280474.738,22.06355505,35.04350152,64.94856093,12330.47,100,Below_30,3,,10,Foot_or_bicycle,Industry_or_other,486.668134,0,No
Purples,9,561.9083345,81886.14605,Environment,187.3027782,No,437.1859662,Yes,Male,By_16:00,0.011037437,,945.8500703,8.105876753,7.733424753,6.454,,66.508441,492.1529038,5356.16547,58650.80768,Yes,191131.5691,22.18451946,65.06940777,,35279.63349,90,45_and_up,2,744.1869482,11,Car,Student_or_Unemployed,515.0614763,1,No
Purples,9,71.74722283,9842.865321,Social,23.91574094,Yes,411.5643059,Yes,Male,By_16:00,0.065461998,0.679539835,928.0069126,4.428595838,18.94732877,3.776,6224,35.98211454,478.9268367,5073.496732,56473.23103,No,169385.1779,21.88439711,92.08846588,72.11785638,605.8784059,70,45_and_up,2,714.8534292,13,Public_or_other,Industry_or_other,485.3256913,0,Yes
Purples,3,437.5418726,57233.61414,Education,145.8472909,Yes,392.4215102,Yes,Female,After_16:00,0.495623845,0.275619008,647.6149121,3.683597189,79.57921939,3.782,6218,56.81205245,482.213603,4888.642308,55847.87223,No,153994.6417,21.95936254,115.8532576,68.81334188,21427.27954,100,30-45,1,703.6608789,12,Motorcycle_or_truck,Hightech,460.8529704,0,Yes
Purples,3,243.9793108,32320.35317,Social,81.32643695,Yes,397.4150889,Yes,Female,,0.891527759,0.824341368,497.1078585,7.276492584,54.12825716,1.313,8687,29.29186693,397.128496,4768.407881,48904.88753,Maybe,157938.7529,19.9280831,153.243646,13.19341911,6705.315783,70,30-45,2,622.7778366,13,Foot_or_bicycle,Industry_or_other,451.2413627,2,No
